,ID,Grades,Hrabsence,Finalgrades,Consultations,Attedance
0,4974728.2,90,21.0,Pass,25,Highasbence
1,4938705.2,67,22.0,Pass,13,Highasbence
2,4927889.2,70,12.0,Pass,42,Lowasbence
3,4975219.6,60,16.0,Pass,23,Lowasbence
4,4927465.4,55,38.0,Retake,21,Highasbence
5,4974585.2,65,8.0,Pass,14,Lowasbence
6,4975289.8,64,20.0,Pass,19,Lowasbence
7,4927634.4,79,20.0,Pass,15,Lowasbence
8,4974853.0,70,20.0,Pass,12,Lowasbence
9,4975224.8,63,14.0,Pass,25,Lowasbence
10,4975354.8,15,32.0,Redo,2,Highasbence
11,4975118.2,60,17.45,Pass,8,Lowasbence
12,4975310.6,46,12.0,Redo,15,Lowasbence
13,4975295.0,66,30.0,Pass,19,Highasbence
14,4973880.6,79,4.0,Pass,50,Lowasbence
15,4975313.2,74,8.0,Pass,15,Lowasbence
16,4975323.6,82,12.0,Pass,14,Lowasbence
17,4974855.6,0,56.0,Redo,2,Extremabsence
18,4974054.8,77,6.0,Pass,27,Lowasbence
19,4973893.6,78,13.0,Pass,20,Lowasbence
20,4975305.4,74,6.0,Pass,25,Lowasbence
21,4927319.8,76,30.0,Pass,33,Highasbence
22,4927824.2,71,21.0,Pass,28,Highasbence
23,4975357.4,27,38.0,Redo,12,Highasbence
24,4974964.8,75,6.0,Pass,31,Lowasbence
25,4975211.8,26,30.0,Redo,14,Highasbence
26,4975196.2,88,21.0,Pass,16,Highasbence
27,4975331.4,31,30.0,Redo,12,Highasbence
28,4974002.8,60,26.0,Pass,10,Highasbence
29,4974980.4,41,20.0,Redo,48,Lowasbence
30,4975336.6,23,30.0,Redo,20,Highasbence
31,4974057.4,0,56.0,Redo,20,Extremabsence
32,4974996.0,71,6.0,Pass,17,Lowasbence
33,4928102.4,65,14.0,Pass,21,Lowasbence
