,ID,Grades,Hrabsence,Finalgrades,Consultations
0,9949456.4,90,21.0,Pass,25
1,9877410.4,67,22.0,Pass,13
2,9855778.4,70,12.0,Pass,42
3,9950439.2,60,16.0,Pass,23
4,9854930.8,55,38.0,Retake,21
5,9949170.4,65,8.0,Pass,14
6,9950579.6,64,20.0,Pass,19
7,9855268.8,79,20.0,Pass,15
8,9949706.0,70,20.0,Pass,12
9,9950449.6,63,14.0,Pass,25
10,9950709.6,15,32.0,Redo,2
11,9950236.4,60,17.45,Pass,8
12,9950621.2,46,12.0,Redo,15
13,9950590.0,66,30.0,Pass,19
14,9947761.2,79,4.0,Pass,50
15,9950626.4,74,8.0,Pass,15
16,9950647.2,82,12.0,Pass,14
17,9949711.2,0,56.0,Redo,2
18,9948109.6,77,6.0,Pass,27
19,9947787.2,78,13.0,Pass,20
20,9950610.8,74,6.0,Pass,25
21,9854639.6,76,30.0,Pass,33
22,9855648.4,71,21.0,Pass,28
23,9950714.8,27,38.0,Redo,12
24,9949929.6,75,6.0,Pass,31
25,9950423.6,26,30.0,Redo,14
26,9950392.4,88,21.0,Pass,16
27,9950662.8,31,30.0,Redo,12
28,9948005.6,60,26.0,Pass,10
29,9949960.8,41,20.0,Redo,48
30,9950673.2,23,30.0,Redo,20
31,9948114.8,0,56.0,Redo,20
32,9949992.0,71,6.0,Pass,17
33,9856204.8,65,14.0,Pass,21
